0x0da470c4f9,bayonetta_bat
0x126a1b0c8e,bayonetta_gomorrah
0x0e381d4999,bayonetta_hair
0x19783f4c38,bayonetta_specialn_bullet
0x181219756e,bayonetta_wickedweavearm
0x18ff978bb5,bayonetta_wickedweaveleg
0x0a263cc107,brave_blue
0x0b853818e2,brave_crash
0x0f9f269d37,brave_deathball
0x0fd07a35bf,brave_explosion
0x0e13016172,brave_fireball
0x0bfd1eb73e,brave_flash
0x0f20a4f233,brave_lightning
0x0b5de32a91,brave_sleep
0x0bcfc32710,brave_spark
0x0d75b2a60f,brave_tornado
0x0dac0ad336,buddy_bigbird
0x11bfb4d53c,buddy_bigbirdbase
0x0ab0658917,buddy_bird
0x0c84193cd8,buddy_bullet
0x0a3b80fcdf,buddy_horn
0x0999d40d7f,buddy_pad
0x0d9972eb4f,buddy_partner
0x0b20b17dc4,buddy_piece
0x0d1cc3bfac,buddy_strings
0x1224488cfd,captain_bluefalcon
0x13d1a854e9,captain_falconpunch
0x0bfc61fb00,chrom_sword
0x113260b988,cloud_fusionsword
0x0a06f08fed,cloud_wave
0x0c68342946,daisy_kassar
0x0d4ae6786c,daisy_kinopio
0x122585d682,daisy_kinopiospore
0x0c0cb39efe,dedede_gordo
0x109241d2c2,dedede_jethammer
0x0be668573c,dedede_mask
0x0eaecb5b37,dedede_missile
0x1607a456d4,dedede_newdededehammer
0x0d8e772850,dedede_shrine
0x0b50dcce18,dedede_star
0x12d44348e0,dedede_starmissile
0x10eabe77bd,dedede_waddledee
0x0d997a5ed0,demon_blaster
0x12a08668aa,demon_blasterchest
0x11bb86f623,demon_blasterhead
0x11a47705fb,demon_blasterwing
0x0c253660a7,demon_demonp
0x0f6c3db57a,diddy_barreljet
0x10abb26a9c,diddy_barreljets
0x0ddc7d744e,diddy_bunshin
0x0e57f11b31,diddy_dkbarrel
0x0f82ea70b0,diddy_explosion
0x0916c8db2f,diddy_gun
0x14e367bf76,diddy_lock_on_cursor
0x0d875dd347,diddy_peanuts
0x0ba941b498,dolly_burst
0x09dcb35c48,dolly_cap
0x0a9cfac3ac,dolly_fire
0x0a1e2067ea,dolly_wave
0x0f188a3c95,donkey_dkbarrel
0x0cb7f3df30,duckhunt_can
0x0d52f56afa,duckhunt_clay
0x126d387601,duckhunt_finalbird
0x1137e22627,duckhunt_finalcan
0x11d5f2a588,duckhunt_finaldog
0x129e094d48,duckhunt_finalduck
0x136bedc4e0,duckhunt_finalenemy
0x13387f01ba,duckhunt_finalgrass
0x14d78bb4ae,duckhunt_finalgunman
0x0ef99d4f85,duckhunt_grass
0x0f612c7bdd,duckhunt_gunman
0x1539405fcb,duckhunt_gunmanbullet
0x1437fc05aa,duckhunt_kurofukuhat
0x10b569e722,duckhunt_reticle
0x0f44ceca67,edge_background
0x0971ad1c4f,edge_fire
0x0bf84831fb,edge_flare1
0x0b61416041,edge_flare2
0x0fcbdbea2a,edge_flaredummy
0x0a425faf36,edge_flash
0x12b2fc8df4,eflame_blazepillar
0x0d5b68721f,eflame_esword
0x1156173a4d,eflame_firepillar
0x0ff73d1fc9,eflame_windummy
0x0f222c2af9,eflame_winsword
0x0fa0ccc8ff,element_changer
0x0dde617190,element_diver
0x0ba94e953a,elight_beam
0x0e225e18fa,elight_bunshin
0x0d37903281,elight_esword
0x14ff891127,elight_exprosiveshot
0x0d20f921bb,elight_meteor
0x13d38e5750,elight_spreadbullet
0x0f6e239535,elight_windummy
0x0fbb32a005,elight_winsword
0x0c867f81a1,falco_arwing
0x10125bc440,falco_arwingshot
0x0d36e9fbe9,falco_blaster
0x145ac9df3b,falco_blaster_bullet
0x0ea4fd471c,falco_illusion
0x0daae4129d,falco_reticle
0x0acf7df447,fox_arwing
0x0e8e43eba9,fox_arwingshot
0x0b7fc9bed1,fox_blaster
0x12b90d9762,fox_blaster_bullet
0x0c8cb6dfc7,fox_illusion
0x0be3c457a5,fox_reticle
0x0e4ed6b95b,gamewatch_bomb
0x10fd934383,gamewatch_breath
0x0f5485490b,gamewatch_entry
0x0e1ae1e9bb,gamewatch_food
0x17b5793699,gamewatch_normal_weapon
0x11832533ed,gamewatch_octopus
0x0df4d57be5,gamewatch_oil
0x0fdd090774,gamewatch_panel
